state,tru_id,age_group_id,population_total,population_male,population_female,main_workers_total,main_workers_male,main_workers_female,marginal_workers_total,marginal_workers_male,marginal_workers_female,marg_3_6mo_total,marg_3_6mo_male,marg_3_6mo_female,marg_less_3mo_total,marg_less_3mo_male,marg_less_3mo_female,non_workers_total,non_workers_male,non_workers_female,seeking_work_total,seeking_work_male,seeking_work_female
8,3,5,1515804,781206,734598,713900,620410,93490,12337,6317,6020,75138,46215,28923,43847,30952,12895,714429,108264,606165,126081,49875,76206
8,3,6,1309866,668458,641408,691169,590488,100681,10256,4435,5821,65095,35900,29195,35118,23070,12048,543346,37635,505711,58825,15241,43584
8,3,7,1204169,615956,588213,664765,559397,105368,9472,3698,5774,59272,30590,28682,30611,19030,11581,470660,22271,448389,37403,6897,30506
8,3,8,1910287,994766,915521,1074480,910756,163724,13305,5324,7981,84407,43533,40874,39381,24757,14624,738095,35153,702942,38570,7704,30866
8,3,9,1212749,644110,568639,653174,563645,89529,7570,3268,4302,45146,24502,20644,17791,11545,6246,506859,52695,454164,16538,5131,11407
8,3,10,715866,358347,357519,207946,179790,28156,5127,2574,2553,23874,13989,9885,7992,5198,2794,478919,161994,316925,9458,4648,4810
8,3,11,334498,161557,172941,57675,50353,7322,2043,1238,805,7426,4801,2625,1965,1333,632,267354,105165,162189,2592,1227,1365
8,3,12,137982,59691,78291,16331,14008,2323,611,397,214,2162,1338,824,626,396,230,118878,43948,74930,1150,498,652
8,3,13,55115,28859,26256,15308,13112,2196,349,169,180,2048,1225,823,962,611,351,37410,14353,23057,1784,859,925
8,3,14,10713690,5582096,5131594,4545429,3887615,657814,80083,38994,41089,464633,267837,196796,252534,171678,80856,5623545,1387650,4235895,684627,313197,371430
8,3,15,1188346,579595,608751,281952,244151,37801,7781,4209,3572,33462,20128,13334,10583,6927,3656,865151,311107,554044,13200,6373,6827
9,1,16,199812341,104480510,95331831,44635492,37420299,7215193,4294074,2269659,2024415,16885149,10156804,6728345,9396375,6826277,2570098,133997626,54633748,79363878,8572759,4257744,4315015
9,1,1,25061717,13250331,11811386,288349,171429,116920,70753,37289,33464,319267,170993,148274,102950,57911,45039,24383348,12870620,11512728,219447,119866,99581
9,1,2,25869881,13679154,12190727,607952,416079,191873,255387,137784,117603,634998,357697,277301,260719,166949,93770,24371544,12767594,11603950,466314,276391,189923
9,1,3,23040380,12307573,10732807,2595613,2121962,473651,572535,339612,232923,1792309,1180328,611981,1152248,867583,284665,18079923,8665671,9414252,2463659,1528800,934859
9,1,4,17578648,9405485,8173163,4697767,4001356,696411,549519,323173,226346,2280691,1509826,770865,1519089,1170158,348931,10050671,3571130,6479541,2071178,1184117,887061
9,1,5,14579829,7466367,7113462,5431503,4599048,832455,491579,263181,228398,2150917,1346423,804494,1342943,1001389,341554,6505830,1257715,5248115,1096333,477739,618594
9,1,6,12954682,6431401,6523281,5334115,4469992,864123,442415,215675,226740,1933421,1129233,804188,1145235,819698,325537,5244731,616501,4628230,644357,214671,429686
9,1,7,12556222,6401231,6154991,5601040,4698500,902540,423698,205203,218495,1867062,1077414,789648,1073510,764037,309473,4664422,420114,4244308,482903,127998,354905
9,1,8,18681179,9777310,8903869,8835600,7449038,1386562,601914,289457,312457,2639443,1498899,1140544,1410858,999125,411733,6604222,539916,6064306,539595,130699,408896
